emotion_type	intensity	timestamp	participant_id
joy	0.843	0.0	participant_1
anger	0.311	0.1	participant_2
joy	0.445	0.2	participant_3
sadness	0.635	0.30000000000000004	participant_4
sadness	0.733	0.4	participant_5
surprise	0.402	0.5	participant_6
sadness	0.494	0.6000000000000001	participant_7
sadness	0.152	0.7000000000000001	participant_8
joy	0.534	0.8	participant_9
joy	0.489	0.9	participant_10
fear	0.383	1.0	participant_11
joy	0.285	1.1	participant_12
surprise	0.427	1.2000000000000002	participant_1
anger	0.457	1.3	participant_2
sadness	0.533	1.4000000000000001	participant_3
fear	0.572	1.5	participant_4
joy	0.290	1.6	participant_5
joy	0.762	1.7000000000000002	participant_6
sadness	0.458	1.8	participant_7
fear	0.411	1.9000000000000001	participant_8
sadness	0.174	2.0	participant_9
sadness	0.570	2.1	participant_10
sadness	0.519	2.2	participant_11
joy	0.288	2.3000000000000003	participant_12
surprise	0.880	2.4000000000000004	participant_1
anger	0.733	2.5	participant_2
anger	0.504	2.6	participant_3
anger	0.700	2.7	participant_4
sadness	0.629	2.8000000000000003	participant_5
anger	0.679	2.9000000000000004	participant_6
sadness	0.692	3.0	participant_7
fear	0.617	3.1	participant_8
fear	0.626	3.2	participant_9
fear	0.854	3.3000000000000003	participant_10
anger	0.634	3.4000000000000004	participant_11
anger	0.656	3.5	participant_12
anger	0.495	3.6	participant_1
fear	0.623	3.7	participant_2
fear	0.413	3.8000000000000003	participant_3
fear	0.515	3.9000000000000004	participant_4
surprise	0.233	4.0	participant_5
sadness	0.901	4.1000000000000005	participant_6
anger	0.824	4.2	participant_7
fear	0.104	4.3	participant_8
surprise	0.563	4.4	participant_9
sadness	0.777	4.5	participant_10
sadness	0.697	4.6000000000000005	participant_11
joy	0.622	4.7	participant_12
surprise	0.552	4.800000000000001	participant_1
anger	0.678	4.9	participant_2
surprise	0.492	5.0	participant_3
joy	0.614	5.1000000000000005	participant_4
anger	0.452	5.2	participant_5
joy	0.675	5.300000000000001	participant_6
anger	0.645	5.4	participant_7
fear	0.689	5.5	participant_8
anger	0.444	5.6000000000000005	participant_9
sadness	0.886	5.7	participant_10
anger	0.745	5.800000000000001	participant_11
fear	0.280	5.9	participant_12
sadness	0.192	6.0	participant_1
anger	0.876	6.1000000000000005	participant_2
anger	0.505	6.2	participant_3
fear	0.636	6.300000000000001	participant_4
joy	0.219	6.4	participant_5
joy	0.644	6.5	participant_6
joy	0.240	6.6000000000000005	participant_7
anger	0.371	6.7	participant_8
fear	0.278	6.800000000000001	participant_9
sadness	0.116	6.9	participant_10
sadness	0.366	7.0	participant_11
joy	0.454	7.1000000000000005	participant_12
anger	0.648	7.2	participant_1
anger	0.119	7.300000000000001	participant_2
joy	0.749	7.4	participant_3
surprise	0.226	7.5	participant_4
