window_start	window_end	participant_id	sample_count
0.0	2.9000000000000004	participant_1	30
1.5	4.4	participant_4	30
3.0	5.9	participant_7	30
4.5	7.4	participant_10	30
6.0	8.9	participant_1	30
7.5	10.4	participant_4	30
9.0	11.9	participant_7	30
10.5	13.4	participant_10	30
12.0	14.9	participant_1	30
13.5	16.400000000000002	participant_4	30
15.0	17.900000000000002	participant_7	30
16.5	19.400000000000002	participant_10	30
18.0	20.900000000000002	participant_1	30
19.5	22.400000000000002	participant_4	30
21.0	23.900000000000002	participant_7	30
22.5	25.400000000000002	participant_10	30
24.0	26.900000000000002	participant_1	30
25.5	28.400000000000002	participant_4	30
27.0	29.900000000000002	participant_7	30
28.5	31.400000000000002	participant_10	30
30.0	32.9	participant_1	30
31.5	34.4	participant_4	30
33.0	35.9	participant_7	30
34.5	37.4	participant_10	30
36.0	38.900000000000006	participant_1	30
37.5	40.400000000000006	participant_4	30
39.0	41.900000000000006	participant_7	30
40.5	43.400000000000006	participant_10	30
42.0	44.900000000000006	participant_1	30
43.5	46.400000000000006	participant_4	30
45.0	47.900000000000006	participant_7	30
46.5	49.400000000000006	participant_10	30
48.0	50.900000000000006	participant_1	30
49.5	52.400000000000006	participant_4	30
51.0	53.900000000000006	participant_7	30
52.5	55.400000000000006	participant_10	30
54.0	56.900000000000006	participant_1	30
55.5	58.400000000000006	participant_4	30
