,"Jung 1909 
（英訳版）",河崎純真 2025,河崎純真 2025
1,head,頭,あたま
2,green,緑,みどり
3,water,水,みず
4,to sing,歌う,うたう
5,death,亡くなる,なくなる
6,long,長い,ながい
7,ship,船,ふね
8,to pay,支払い,しはらい
9,window,窓,まど
10,friendly,親切な,しんせつ
11,table,机,つくえ
12,to ask,聞く,きく
13,16 village,村,むら
14,13 cold,冷たい,つめたい
15,14 stem,茎,きく
16,15 to dance,踊る,おどる
17,lake,海,うみ
18,sick,病気,びょうき
19,pride,プライド,プライド
20,to cook,料理,りょうり
21,ink,インク,インク
22,angry,怒り,いかり
23,needle,針,はり
24,to swim,泳ぐ,およぐ
25,journey,旅行,りょこう
26,blue,青い,あおい
27,lamp,電気,でんき
28,to sin,罪,つみ
29,bread,ご飯,ごはん
30,rich,金持ち,かねもち
31,tree,木,き
32,to prick,刺す,さす
33,pity,同情,どうじょう
34,yellow,黄色,きいろ
35,mountain,山,やま
36,to die,死ぬ,しぬ
37,salt,塩,しお
38,new,新しい,あたらしい
39,custom,癖,くせ
40,to pray,祈る,いのる
41,money,お金,おかね
42,stupid,馬鹿,ばか
43,exercise-book,ノート,ノート
44,to despise,軽蔑,けいべつ
45,finger,指,ゆび
46,dear,高価な,こうかな
47,bird,鳥,とり
48,to fall,落ちる,おちる
49,book,本,ほん
50,unjust,不正,ふせい
51,frog,蛙,かえる
52,to part,別れる,わかれる
53,hunger,空腹,くうふく
54,white,白い,しろい
55,child,子供,こども
56,"to pay 
attention",注意,ちゅうい
57,pencil,鉛筆,えんぴつ
58,sad,悲しい,かなしい
59,plum,りんご,りんご
60,to marry,結婚,けっこん
61,house,家,いえ
62,darling,かわいい,かわいい
63,glass,ガラス,ガラス
64,to quarrel,争う,あらそう
65,fur,毛皮,けがわ
66,big,大きい,おおきい
67,carrot,人参,にんじん
68,to paint,塗る,ぬる
69,part,部分,ぶぶん
70,old,古い,ふるい
71,flower,花,はな
72,to beat,打つ,うつ
73,box,箱,はこ
74,wild,荒い,あらい
75,family,家族,かぞく
76,to wash,洗う,あらう
77,cow,牛,うし
78,"friend 
（誤訳？）",変,へん
79,happiness,幸運,こううん
80,lie,嘘,うそ
81,deportment,礼儀,れいぎ
82,narrow,狭い,せまい
83,brother,兄弟,きょうだい
84,to fear,怖がる,こわがる
85,stork,コウノトリ,こうのとり
86,FALSE,間違い,まちがい
87,anxiety,心配,しんぱい
88,to kiss,キス,キス
89,bride,花嫁,はなよめ
90,pure,純粋な,じゅんすいな
91,door,ドア,ドア
92,to choose,選ぶ,えらぶ
93,hay,干し草,ほしくさ
94,contented,嬉しい,うれしい
95,ridicule,虐める,いじめる
96,to sleep,眠る,ねむる
97,month,年月,ねんげつ
98,nice,きれいな,きれいな
99,woman,女,おんな
100,to abuse,侮辱,ぶじょく
