Filetype,Mod-002
Title,
Name,
Date,2025-08-01
Begin,10:34:40
End,11:1:0
Time Range, 0:26:20
Comment,


Measurement Record
Time_Sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0.142,0.002,1.496,1.728,0.000,0.000,0.000,0.000
1,0.136,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
2,0.132,-0.012,1.496,1.726,0.000,0.000,0.000,0.000
3,0.124,-0.018,1.498,1.728,0.000,0.000,0.000,0.000
4,0.118,-0.016,1.498,1.726,0.000,0.000,0.000,0.000
5,0.114,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
6,0.112,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
7,0.112,0.002,1.496,1.726,0.000,0.000,0.000,0.000
8,0.112,0.000,1.496,1.726,0.000,0.000,0.000,0.000
9,0.112,0.000,1.498,1.728,0.000,0.000,0.000,0.000
10,0.104,-0.022,1.496,1.728,0.000,0.000,0.000,0.000
11,0.092,-0.020,1.496,1.726,0.000,0.000,0.000,0.000
12,0.096,0.008,1.498,1.726,0.000,0.000,0.000,0.000
13,0.104,0.022,1.498,1.728,0.000,0.000,0.000,0.000
14,0.110,0.018,1.496,1.722,0.000,0.000,0.000,0.000
15,0.106,-0.012,1.498,1.722,0.000,0.000,0.000,0.000
16,0.104,-0.002,1.496,1.728,0.000,0.000,0.000,0.000
17,0.110,0.018,1.498,1.728,0.000,0.000,0.000,0.000
18,0.116,0.018,1.498,1.726,0.000,0.000,0.000,0.000
19,0.120,0.014,1.496,1.728,0.000,0.000,0.000,0.000
20,0.126,0.012,1.496,1.726,0.000,0.000,0.000,0.000
21,0.126,0.012,1.498,1.726,0.000,0.000,0.000,0.000
22,0.126,-0.006,1.496,1.728,0.000,0.000,0.000,0.000
23,0.110,-0.044,1.498,1.726,0.000,0.000,0.000,0.000
24,0.102,-0.012,1.498,1.726,0.000,0.000,0.000,0.000
25,0.114,0.030,1.496,1.728,0.000,0.000,0.000,0.000
26,0.122,0.028,1.498,1.726,0.000,0.000,0.000,0.000
27,0.128,0.014,1.498,1.726,0.000,0.000,0.000,0.000
28,0.132,0.006,1.496,1.728,0.000,0.000,0.000,0.000
29,0.134,0.000,1.496,1.726,0.000,0.000,0.000,0.000
30,0.120,-0.028,1.496,1.726,0.000,0.000,0.000,0.000
31,0.120,0.002,1.498,1.728,0.000,0.000,0.000,0.000
32,0.130,0.024,1.496,1.726,0.000,0.000,0.000,0.000
33,0.136,0.022,1.496,1.726,0.000,0.000,0.000,0.000
34,0.142,0.016,1.496,1.726,0.000,0.000,0.000,0.000
35,0.140,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
36,0.136,-0.006,1.498,1.728,0.000,0.000,0.000,0.000
37,0.130,-0.012,1.498,1.728,0.000,0.000,0.000,0.000
38,0.130,0.006,1.500,1.726,0.000,0.000,0.000,0.000
39,0.140,0.022,1.496,1.728,0.000,0.000,0.000,0.000
40,0.144,0.014,1.496,1.728,0.000,0.000,0.000,0.000
41,0.148,0.010,1.496,1.730,0.000,0.000,0.000,0.000
42,0.148,0.006,1.498,1.728,0.000,0.000,0.000,0.000
43,0.146,0.000,1.496,1.728,0.000,0.000,0.000,0.000
44,0.142,-0.016,1.496,1.728,0.000,0.000,0.000,0.000
45,0.144,0.004,1.498,1.726,0.000,0.000,0.000,0.000
46,0.134,-0.026,1.496,1.728,0.000,0.000,0.000,0.000
47,0.144,0.012,1.496,1.728,0.000,0.000,0.000,0.000
48,0.128,-0.030,1.496,1.726,0.000,0.000,0.000,0.000
49,0.124,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
50,0.124,0.002,1.496,1.724,0.000,0.000,0.000,0.000
51,0.132,0.026,1.498,1.726,0.000,0.000,0.000,0.000
52,0.146,0.026,1.498,1.728,0.000,0.000,0.000,0.000
53,0.142,0.002,1.496,1.728,0.000,0.000,0.000,0.000
54,0.150,0.020,1.498,1.726,0.000,0.000,0.000,0.000
55,0.150,0.006,1.496,1.726,0.000,0.000,0.000,0.000
56,0.152,0.006,1.496,1.728,0.000,0.000,0.000,0.000
57,0.150,-0.010,1.494,1.728,0.000,0.000,0.000,0.000
58,0.138,-0.026,1.498,1.728,0.000,0.000,0.000,0.000
59,0.132,-0.016,1.498,1.728,0.000,0.000,0.000,0.000
60,0.130,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
61,0.130,-0.010,1.496,1.724,0.000,0.000,0.000,0.000
62,0.120,-0.010,1.496,1.726,0.000,0.000,0.000,0.000
63,0.124,0.002,1.496,1.726,0.000,0.000,0.000,0.000
64,0.126,0.008,1.496,1.726,0.000,0.000,0.000,0.000
65,0.128,0.004,1.496,1.728,0.000,0.000,0.000,0.000
66,0.130,0.008,1.496,1.728,0.000,0.000,0.000,0.000
67,0.136,0.012,1.496,1.726,0.000,0.000,0.000,0.000
68,0.140,0.014,1.496,1.726,0.000,0.000,0.000,0.000
69,0.144,0.012,1.496,1.728,0.000,0.000,0.000,0.000
70,0.140,-0.008,1.496,1.728,0.000,0.000,0.000,0.000
71,0.138,0.000,1.496,1.726,0.000,0.000,0.000,0.000
72,0.144,0.018,1.496,1.726,0.000,0.000,0.000,0.000
73,0.148,0.014,1.496,1.726,0.000,0.000,0.000,0.000
74,0.152,0.012,1.496,1.726,0.000,0.000,0.000,0.000
75,0.158,0.018,1.496,1.726,0.000,0.000,0.000,0.000
76,0.162,0.012,1.496,1.726,0.000,0.000,0.000,0.000
77,0.164,0.010,1.496,1.728,0.000,0.000,0.000,0.000
78,0.168,0.012,1.496,1.728,0.000,0.000,0.000,0.000
79,0.164,-0.012,1.496,1.726,0.000,0.000,0.000,0.000
80,0.156,-0.020,1.496,1.728,0.000,0.000,0.000,0.000
81,0.144,-0.032,1.498,1.724,0.000,0.000,0.000,0.000
82,0.138,-0.002,1.498,1.728,0.000,0.000,0.000,0.000
83,0.152,0.032,1.496,1.724,0.000,0.000,0.000,0.000
84,0.166,0.034,1.496,1.726,0.000,0.000,0.000,0.000
