Filetype,Mod-002
Title,
Name,
Date,2025-07-31
Begin,16:7:8
End,16:31:51
Time Range, 0:24:43
Comment,


Measurement Record
Time_Sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0.360,0.018,1.496,1.728,0.000,0.000,0.000,0.000
1,0.366,0.024,1.498,1.726,0.000,0.000,0.000,0.000
2,0.372,0.018,1.496,1.728,0.000,0.000,0.000,0.000
3,0.370,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
4,0.372,0.000,1.500,1.726,0.000,0.000,0.000,0.000
5,0.366,-0.002,1.498,1.726,0.000,0.000,0.000,0.000
6,0.370,0.000,1.496,1.726,0.000,0.000,0.000,0.000
7,0.370,0.006,1.500,1.726,0.000,0.000,0.000,0.000
8,0.372,0.004,1.496,1.726,0.000,0.000,0.000,0.000
9,0.374,0.012,1.496,1.728,0.000,0.000,0.000,0.000
10,0.372,0.004,1.496,1.730,0.000,0.000,0.000,0.000
11,0.372,0.002,1.496,1.726,0.000,0.000,0.000,0.000
12,0.372,0.002,1.498,1.724,0.000,0.000,0.000,0.000
13,0.372,0.000,1.500,1.728,0.000,0.000,0.000,0.000
14,0.372,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
15,0.372,0.002,1.498,1.726,0.000,0.000,0.000,0.000
16,0.372,0.002,1.496,1.726,0.000,0.000,0.000,0.000
17,0.372,0.002,1.496,1.726,0.000,0.000,0.000,0.000
18,0.374,0.008,1.496,1.726,0.000,0.000,0.000,0.000
19,0.378,0.008,1.498,1.726,0.000,0.000,0.000,0.000
20,0.362,-0.040,1.496,1.728,0.000,0.000,0.000,0.000
21,0.338,-0.058,1.496,1.728,0.000,0.000,0.000,0.000
22,0.332,-0.016,1.494,1.726,0.000,0.000,0.000,0.000
23,0.346,0.030,1.496,1.726,0.000,0.000,0.000,0.000
24,0.356,0.032,1.496,1.726,0.000,0.000,0.000,0.000
25,0.364,0.022,1.496,1.728,0.000,0.000,0.000,0.000
26,0.368,0.010,1.496,1.726,0.000,0.000,0.000,0.000
27,0.368,0.004,1.498,1.726,0.000,0.000,0.000,0.000
28,0.364,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
29,0.366,0.004,1.496,1.728,0.000,0.000,0.000,0.000
30,0.370,0.008,1.498,1.728,0.000,0.000,0.000,0.000
31,0.344,-0.080,1.498,1.726,0.000,0.000,0.000,0.000
32,0.306,-0.088,1.494,1.726,0.000,0.000,0.000,0.000
33,0.310,0.004,1.496,1.724,0.000,0.000,0.000,0.000
34,0.324,0.036,1.498,1.726,0.000,0.000,0.000,0.000
35,0.336,0.032,1.496,1.726,0.000,0.000,0.000,0.000
36,0.340,0.014,1.498,1.728,0.000,0.000,0.000,0.000
37,0.344,0.014,1.496,1.728,0.000,0.000,0.000,0.000
38,0.352,0.022,1.496,1.726,0.000,0.000,0.000,0.000
39,0.356,0.010,1.498,1.726,0.000,0.000,0.000,0.000
40,0.356,0.010,1.496,1.728,0.000,0.000,0.000,0.000
41,0.358,0.010,1.494,1.726,0.000,0.000,0.000,0.000
42,0.364,0.016,1.496,1.728,0.000,0.000,0.000,0.000
43,0.368,0.018,1.496,1.728,0.000,0.000,0.000,0.000
44,0.372,0.014,1.496,1.726,0.000,0.000,0.000,0.000
45,0.374,0.012,1.496,1.726,0.000,0.000,0.000,0.000
46,0.378,0.008,1.496,1.726,0.000,0.000,0.000,0.000
47,0.380,0.006,1.498,1.726,0.000,0.000,0.000,0.000
48,0.380,0.006,1.496,1.726,0.000,0.000,0.000,0.000
49,0.384,0.012,1.494,1.728,0.000,0.000,0.000,0.000
50,0.386,0.006,1.496,1.724,0.000,0.000,0.000,0.000
51,0.384,0.002,1.498,1.728,0.000,0.000,0.000,0.000
52,0.386,0.006,1.496,1.726,0.000,0.000,0.000,0.000
53,0.388,0.012,1.496,1.726,0.000,0.000,0.000,0.000
54,0.390,-0.006,1.498,1.728,0.000,0.000,0.000,0.000
55,0.366,-0.046,1.496,1.728,0.000,0.000,0.000,0.000
56,0.366,-0.006,1.492,1.726,0.000,0.000,0.000,0.000
57,0.364,-0.008,1.496,1.728,0.000,0.000,0.000,0.000
58,0.370,0.022,1.496,1.728,0.000,0.000,0.000,0.000
59,0.382,0.032,1.496,1.726,0.000,0.000,0.000,0.000
60,0.390,0.026,1.498,1.726,0.000,0.000,0.000,0.000
61,0.380,-0.034,1.494,1.726,0.000,0.000,0.000,0.000
62,0.368,-0.022,1.498,1.728,0.000,0.000,0.000,0.000
63,0.378,0.030,1.496,1.728,0.000,0.000,0.000,0.000
64,0.384,0.010,1.496,1.726,0.000,0.000,0.000,0.000
65,0.348,-0.092,1.496,1.726,0.000,0.000,0.000,0.000
66,0.344,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
67,0.366,0.048,1.496,1.726,0.000,0.000,0.000,0.000
68,0.382,0.046,1.494,1.726,0.000,0.000,0.000,0.000
69,0.392,0.032,1.496,1.726,0.000,0.000,0.000,0.000
70,0.398,0.020,1.498,1.724,0.000,0.000,0.000,0.000
71,0.402,0.014,1.494,1.726,0.000,0.000,0.000,0.000
72,0.400,0.006,1.496,1.728,0.000,0.000,0.000,0.000
73,0.402,0.002,1.496,1.726,0.000,0.000,0.000,0.000
74,0.396,-0.020,1.498,1.728,0.000,0.000,0.000,0.000
75,0.368,-0.064,1.496,1.728,0.000,0.000,0.000,0.000
76,0.374,0.014,1.496,1.724,0.000,0.000,0.000,0.000
77,0.390,0.052,1.498,1.730,0.000,0.000,0.000,0.000
78,0.370,-0.100,1.498,1.726,0.000,0.000,0.000,0.000
79,0.254,-0.274,1.496,1.728,0.000,0.000,0.000,0.000
80,0.232,-0.094,1.496,1.726,0.000,0.000,0.000,0.000
81,0.202,-0.114,1.496,1.726,0.000,0.000,0.000,0.000
82,0.178,-0.066,1.496,1.726,0.000,0.000,0.000,0.000
83,0.198,0.040,1.496,1.726,0.000,0.000,0.000,0.000
84,0.228,0.076,1.498,1.722,0.000,0.000,0.000,0.000
85,0.256,0.074,1.498,1.726,0.000,0.000,0.000,0.000
86,0.192,-0.206,1.496,1.726,0.000,0.000,0.000,0.000
87,0.102,-0.214,1.498,1.728,0.000,0.000,0.000,0.000
88,0.100,-0.042,1.498,1.728,0.000,0.000,0.000,0.000
89,0.110,0.014,1.498,1.728,0.000,0.000,0.000,0.000
90,0.138,0.074,1.496,1.728,0.000,0.000,0.000,0.000
91,0.170,0.086,1.496,1.726,0.000,0.000,0.000,0.000
92,0.160,-0.036,1.496,1.726,0.000,0.000,0.000,0.000
93,0.142,-0.024,1.496,1.726,0.000,0.000,0.000,0.000
94,0.168,0.066,1.496,1.724,0.000,0.000,0.000,0.000
95,0.194,0.064,1.496,1.726,0.000,0.000,0.000,0.000
96,0.172,-0.066,1.496,1.726,0.000,0.000,0.000,0.000
97,0.150,-0.038,1.498,1.728,0.000,0.000,0.000,0.000
98,0.176,0.062,1.496,1.728,0.000,0.000,0.000,0.000
99,0.206,0.084,1.498,1.726,0.000,0.000,0.000,0.000
100,0.220,0.022,1.496,1.726,0.000,0.000,0.000,0.000
101,0.214,0.024,1.496,1.726,0.000,0.000,0.000,0.000
102,0.234,0.042,1.498,1.728,0.000,0.000,0.000,0.000
103,0.208,-0.074,1.496,1.726,0.000,0.000,0.000,0.000
104,0.182,-0.048,1.496,1.728,0.000,0.000,0.000,0.000
