Filetype,Mod-002
Title,
Name,
Date,2025-07-31
Begin,13:59:53
End,14:22:21
Time Range, 0:22:28
Comment,


Measurement Record
Time_Sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0.080,0.006,1.496,1.728,0.000,0.000,0.000,0.000
1,0.076,-0.004,1.496,1.728,0.000,0.000,0.000,0.000
2,0.076,0.000,1.498,1.726,0.000,0.000,0.000,0.000
3,0.074,-0.002,1.496,1.724,0.000,0.000,0.000,0.000
4,0.074,0.006,1.496,1.728,0.000,0.000,0.000,0.000
5,0.080,0.008,1.498,1.726,0.000,0.000,0.000,0.000
6,0.076,-0.002,1.498,1.726,0.000,0.000,0.000,0.000
7,0.074,-0.004,1.498,1.728,0.000,0.000,0.000,0.000
8,0.072,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
9,0.070,-0.004,1.498,1.728,0.000,0.000,0.000,0.000
10,0.072,-0.004,1.498,1.728,0.000,0.000,0.000,0.000
11,0.068,-0.004,1.498,1.726,0.000,0.000,0.000,0.000
12,0.066,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
13,0.064,-0.004,1.496,1.724,0.000,0.000,0.000,0.000
14,0.064,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
15,0.062,-0.004,1.498,1.726,0.000,0.000,0.000,0.000
16,0.058,-0.002,1.504,1.726,0.000,0.000,0.000,0.000
17,0.060,-0.002,1.498,1.726,0.000,0.000,0.000,0.000
18,0.058,-0.006,1.498,1.726,0.000,0.000,0.000,0.000
19,0.056,0.000,1.496,1.728,0.000,0.000,0.000,0.000
20,0.056,-0.004,1.498,1.726,0.000,0.000,0.000,0.000
21,0.054,-0.006,1.498,1.726,0.000,0.000,0.000,0.000
22,0.052,-0.004,1.498,1.726,0.000,0.000,0.000,0.000
23,0.050,-0.006,1.496,1.728,0.000,0.000,0.000,0.000
24,0.048,-0.006,1.498,1.726,0.000,0.000,0.000,0.000
25,0.052,0.012,1.496,1.728,0.000,0.000,0.000,0.000
26,0.060,0.032,1.496,1.726,0.000,0.000,0.000,0.000
27,0.084,0.052,1.498,1.728,0.000,0.000,0.000,0.000
28,0.086,0.014,1.494,1.726,0.000,0.000,0.000,0.000
29,0.084,0.000,1.498,1.726,0.000,0.000,0.000,0.000
30,0.092,0.018,1.496,1.728,0.000,0.000,0.000,0.000
31,0.086,-0.016,1.498,1.728,0.000,0.000,0.000,0.000
32,0.084,0.006,1.498,1.726,0.000,0.000,0.000,0.000
33,0.088,0.002,1.498,1.728,0.000,0.000,0.000,0.000
34,0.084,-0.004,1.496,1.728,0.000,0.000,0.000,0.000
35,0.086,0.000,1.500,1.726,0.000,0.000,0.000,0.000
36,0.084,-0.004,1.496,1.728,0.000,0.000,0.000,0.000
37,0.088,0.006,1.496,1.728,0.000,0.000,0.000,0.000
38,0.070,-0.036,1.496,1.728,0.000,0.000,0.000,0.000
39,0.074,0.008,1.496,1.726,0.000,0.000,0.000,0.000
40,0.082,0.022,1.496,1.726,0.000,0.000,0.000,0.000
41,0.086,0.012,1.498,1.726,0.000,0.000,0.000,0.000
42,0.084,-0.004,1.500,1.726,0.000,0.000,0.000,0.000
43,0.086,0.006,1.496,1.728,0.000,0.000,0.000,0.000
44,0.088,0.008,1.492,1.726,0.000,0.000,0.000,0.000
45,0.094,0.014,1.498,1.726,0.000,0.000,0.000,0.000
