Filetype,Mod-002
Title,
Name,
Date,2025-08-01
Begin,10:2:1
End,10:32:2
Time Range, 0:30:1
Comment,


Measurement Record
Time_Sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0.044,0.004,1.498,1.728,0.000,0.000,0.000,0.000
1,0.048,0.012,1.498,1.726,0.000,0.000,0.000,0.000
2,0.052,0.010,1.496,1.726,0.000,0.000,0.000,0.000
3,0.050,-0.004,1.496,1.728,0.000,0.000,0.000,0.000
4,0.052,0.010,1.498,1.728,0.000,0.000,0.000,0.000
5,0.056,0.012,1.496,1.726,0.000,0.000,0.000,0.000
6,0.060,0.008,1.496,1.728,0.000,0.000,0.000,0.000
7,0.060,0.000,1.498,1.728,0.000,0.000,0.000,0.000
8,0.054,-0.002,1.498,1.726,0.000,0.000,0.000,0.000
9,0.052,-0.002,1.498,1.726,0.000,0.000,0.000,0.000
10,0.052,0.000,1.496,1.728,0.000,0.000,0.000,0.000
11,0.046,-0.016,1.498,1.726,0.000,0.000,0.000,0.000
12,0.036,-0.020,1.496,1.726,0.000,0.000,0.000,0.000
13,0.036,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
14,0.024,-0.034,1.496,1.726,0.000,0.000,0.000,0.000
15,0.012,-0.022,1.496,1.726,0.000,0.000,0.000,0.000
16,0.016,0.004,1.496,1.726,0.000,0.000,0.000,0.000
17,0.024,0.022,1.496,1.728,0.000,0.000,0.000,0.000
18,0.040,0.042,1.498,1.726,0.000,0.000,0.000,0.000
19,0.052,0.028,1.496,1.726,0.000,0.000,0.000,0.000
20,0.048,0.006,1.498,1.726,0.000,0.000,0.000,0.000
21,0.060,0.014,1.496,1.726,0.000,0.000,0.000,0.000
22,0.044,-0.032,1.498,1.728,0.000,0.000,0.000,0.000
23,0.038,-0.020,1.496,1.726,0.000,0.000,0.000,0.000
24,0.028,-0.016,1.498,1.728,0.000,0.000,0.000,0.000
25,0.032,0.006,1.498,1.726,0.000,0.000,0.000,0.000
26,0.036,0.014,1.498,1.728,0.000,0.000,0.000,0.000
27,0.044,0.016,1.496,1.726,0.000,0.000,0.000,0.000
28,0.038,-0.012,1.496,1.726,0.000,0.000,0.000,0.000
29,0.036,-0.008,1.496,1.728,0.000,0.000,0.000,0.000
30,0.028,-0.010,1.496,1.726,0.000,0.000,0.000,0.000
31,0.032,0.004,1.496,1.728,0.000,0.000,0.000,0.000
32,0.034,0.012,1.498,1.726,0.000,0.000,0.000,0.000
33,0.056,0.058,1.496,1.728,0.000,0.000,0.000,0.000
34,0.070,0.032,1.496,1.728,0.000,0.000,0.000,0.000
35,0.068,0.004,1.498,1.728,0.000,0.000,0.000,0.000
36,0.070,0.000,1.496,1.726,0.000,0.000,0.000,0.000
37,0.062,-0.018,1.498,1.728,0.000,0.000,0.000,0.000
38,0.058,-0.008,1.496,1.734,0.000,0.000,0.000,0.000
39,0.056,-0.006,1.498,1.730,0.000,0.000,0.000,0.000
40,0.054,0.000,1.496,1.724,0.000,0.000,0.000,0.000
41,0.054,0.002,1.498,1.726,0.000,0.000,0.000,0.000
42,0.056,0.006,1.498,1.720,0.000,0.000,0.000,0.000
43,0.056,0.002,1.496,1.726,0.000,0.000,0.000,0.000
44,0.054,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
45,0.052,-0.006,1.498,1.726,0.000,0.000,0.000,0.000
