Filetype,Mod-002
Title,
Name,
Date,2025-07-31
Begin,14:33:45
End,14:58:29
Time Range, 0:24:44
Comment,


Measurement Record
Time_Sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0.298,0.008,1.498,1.726,0.000,0.000,0.000,0.000
1,0.302,0.010,1.496,1.726,0.000,0.000,0.000,0.000
2,0.254,-0.136,1.494,1.724,0.000,0.000,0.000,0.000
3,0.244,-0.024,1.498,1.726,0.000,0.000,0.000,0.000
4,0.254,0.030,1.496,1.726,0.000,0.000,0.000,0.000
5,0.276,0.058,1.496,1.728,0.000,0.000,0.000,0.000
6,0.274,-0.016,1.496,1.726,0.000,0.000,0.000,0.000
7,0.262,-0.008,1.498,1.726,0.000,0.000,0.000,0.000
8,0.288,0.066,1.496,1.728,0.000,0.000,0.000,0.000
9,0.310,0.056,1.496,1.732,0.000,0.000,0.000,0.000
10,0.316,0.030,1.496,1.728,0.000,0.000,0.000,0.000
11,0.322,0.016,1.496,1.728,0.000,0.000,0.000,0.000
12,0.322,0.012,1.496,1.726,0.000,0.000,0.000,0.000
13,0.324,0.008,1.496,1.726,0.000,0.000,0.000,0.000
14,0.324,0.006,1.496,1.728,0.000,0.000,0.000,0.000
15,0.324,0.006,1.496,1.728,0.000,0.000,0.000,0.000
16,0.326,0.006,1.498,1.728,0.000,0.000,0.000,0.000
17,0.328,0.002,1.496,1.728,0.000,0.000,0.000,0.000
18,0.328,0.002,1.498,1.726,0.000,0.000,0.000,0.000
19,0.324,0.000,1.500,1.728,0.000,0.000,0.000,0.000
20,0.324,0.000,1.498,1.728,0.000,0.000,0.000,0.000
21,0.324,0.000,1.496,1.726,0.000,0.000,0.000,0.000
22,0.324,0.002,1.496,1.726,0.000,0.000,0.000,0.000
23,0.322,0.000,1.498,1.726,0.000,0.000,0.000,0.000
24,0.322,-0.004,1.500,1.726,0.000,0.000,0.000,0.000
25,0.320,0.000,1.500,1.726,0.000,0.000,0.000,0.000
26,0.322,0.000,1.498,1.726,0.000,0.000,0.000,0.000
27,0.320,0.000,1.498,1.726,0.000,0.000,0.000,0.000
28,0.318,0.000,1.498,1.726,0.000,0.000,0.000,0.000
29,0.316,-0.002,1.498,1.728,0.000,0.000,0.000,0.000
30,0.314,-0.002,1.498,1.728,0.000,0.000,0.000,0.000
31,0.314,-0.002,1.494,1.728,0.000,0.000,0.000,0.000
32,0.314,0.002,1.496,1.726,0.000,0.000,0.000,0.000
33,0.316,0.006,1.498,1.726,0.000,0.000,0.000,0.000
34,0.318,0.008,1.498,1.726,0.000,0.000,0.000,0.000
35,0.322,0.006,1.496,1.728,0.000,0.000,0.000,0.000
36,0.314,-0.010,1.496,1.726,0.000,0.000,0.000,0.000
37,0.318,0.008,1.498,1.726,0.000,0.000,0.000,0.000
38,0.320,0.008,1.496,1.726,0.000,0.000,0.000,0.000
39,0.322,0.006,1.496,1.726,0.000,0.000,0.000,0.000
40,0.320,-0.006,1.496,1.728,0.000,0.000,0.000,0.000
41,0.316,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
42,0.320,0.018,1.496,1.726,0.000,0.000,0.000,0.000
43,0.316,-0.010,1.496,1.726,0.000,0.000,0.000,0.000
44,0.314,0.000,1.496,1.726,0.000,0.000,0.000,0.000
45,0.316,0.006,1.496,1.726,0.000,0.000,0.000,0.000
46,0.316,0.000,1.496,1.726,0.000,0.000,0.000,0.000
47,0.318,0.002,1.498,1.728,0.000,0.000,0.000,0.000
48,0.314,0.000,1.496,1.728,0.000,0.000,0.000,0.000
49,0.312,-0.002,1.498,1.730,0.000,0.000,0.000,0.000
50,0.312,0.000,1.498,1.726,0.000,0.000,0.000,0.000
51,0.312,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
52,0.312,-0.004,1.498,1.728,0.000,0.000,0.000,0.000
53,0.308,-0.004,1.498,1.728,0.000,0.000,0.000,0.000
54,0.308,0.000,1.498,1.724,0.000,0.000,0.000,0.000
55,0.304,-0.016,1.496,1.724,0.000,0.000,0.000,0.000
56,0.286,-0.040,1.498,1.728,0.000,0.000,0.000,0.000
57,0.308,0.064,1.496,1.726,0.000,0.000,0.000,0.000
58,0.318,0.016,1.498,1.728,0.000,0.000,0.000,0.000
59,0.312,0.002,1.496,1.724,0.000,0.000,0.000,0.000
60,0.316,0.008,1.496,1.726,0.000,0.000,0.000,0.000
61,0.314,0.000,1.496,1.726,0.000,0.000,0.000,0.000
62,0.312,-0.004,1.498,1.726,0.000,0.000,0.000,0.000
63,0.308,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
64,0.308,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
65,0.306,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
66,0.304,-0.006,1.498,1.728,0.000,0.000,0.000,0.000
67,0.302,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
68,0.300,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
69,0.298,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
70,0.296,-0.006,1.498,1.726,0.000,0.000,0.000,0.000
71,0.292,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
72,0.290,-0.008,1.496,1.728,0.000,0.000,0.000,0.000
73,0.286,-0.008,1.496,1.728,0.000,0.000,0.000,0.000
74,0.276,-0.012,1.494,1.728,0.000,0.000,0.000,0.000
75,0.278,-0.010,1.498,1.726,0.000,0.000,0.000,0.000
76,0.274,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
77,0.272,-0.006,1.496,1.726,0.000,0.000,0.000,0.000
78,0.270,-0.008,1.496,1.724,0.000,0.000,0.000,0.000
79,0.268,-0.008,1.494,1.726,0.000,0.000,0.000,0.000
80,0.264,-0.008,1.496,1.724,0.000,0.000,0.000,0.000
81,0.262,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
82,0.266,0.008,1.498,1.724,0.000,0.000,0.000,0.000
83,0.266,0.000,1.496,1.728,0.000,0.000,0.000,0.000
84,0.264,-0.006,1.496,1.726,0.000,0.000,0.000,0.000
85,0.262,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
86,0.262,0.002,1.496,1.726,0.000,0.000,0.000,0.000
87,0.260,-0.002,1.496,1.728,0.000,0.000,0.000,0.000
88,0.258,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
89,0.258,-0.002,1.496,1.728,0.000,0.000,0.000,0.000
90,0.260,0.002,1.496,1.726,0.000,0.000,0.000,0.000
91,0.260,0.012,1.498,1.726,0.000,0.000,0.000,0.000
92,0.272,0.028,1.496,1.728,0.000,0.000,0.000,0.000
93,0.274,0.012,1.496,1.726,0.000,0.000,0.000,0.000
94,0.274,0.000,1.498,1.728,0.000,0.000,0.000,0.000
