Filetype,Mod-002
Title,
Name,
Date,2025-08-01
Begin, 9:35:14
End, 9:58:14
Time Range, 0:23:0
Comment,


Measurement Record
Time_Sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0.068,0.010,1.496,1.728,0.000,0.000,0.000,0.000
1,0.072,0.012,1.496,1.728,0.000,0.000,0.000,0.000
2,0.074,0.004,1.496,1.726,0.000,0.000,0.000,0.000
3,0.070,-0.006,1.498,1.724,0.000,0.000,0.000,0.000
4,0.070,0.000,1.496,1.726,0.000,0.000,0.000,0.000
5,0.070,0.002,1.496,1.726,0.000,0.000,0.000,0.000
6,0.070,0.002,1.496,1.728,0.000,0.000,0.000,0.000
7,0.068,-0.002,1.496,1.728,0.000,0.000,0.000,0.000
8,0.066,-0.008,1.496,1.726,0.000,0.000,0.000,0.000
9,0.064,-0.002,1.496,1.726,0.000,0.000,0.000,0.000
10,0.070,0.024,1.496,1.728,0.000,0.000,0.000,0.000
11,0.076,0.018,1.498,1.726,0.000,0.000,0.000,0.000
12,0.086,0.024,1.498,1.726,0.000,0.000,0.000,0.000
13,0.088,0.008,1.496,1.726,0.000,0.000,0.000,0.000
14,0.094,0.020,1.498,1.726,0.000,0.000,0.000,0.000
15,0.096,0.006,1.496,1.726,0.000,0.000,0.000,0.000
16,0.100,0.016,1.496,1.726,0.000,0.000,0.000,0.000
17,0.104,0.008,1.498,1.728,0.000,0.000,0.000,0.000
18,0.100,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
19,0.104,0.010,1.496,1.724,0.000,0.000,0.000,0.000
20,0.110,0.014,1.496,1.726,0.000,0.000,0.000,0.000
21,0.110,0.004,1.496,1.724,0.000,0.000,0.000,0.000
22,0.108,-0.004,1.498,1.726,0.000,0.000,0.000,0.000
23,0.104,-0.008,1.498,1.728,0.000,0.000,0.000,0.000
24,0.106,0.006,1.498,1.728,0.000,0.000,0.000,0.000
25,0.104,-0.004,1.496,1.726,0.000,0.000,0.000,0.000
26,0.100,-0.008,1.496,1.728,0.000,0.000,0.000,0.000
27,0.098,-0.004,1.496,1.728,0.000,0.000,0.000,0.000
28,0.098,0.002,1.496,1.728,0.000,0.000,0.000,0.000
29,0.102,0.008,1.498,1.728,0.000,0.000,0.000,0.000
30,0.102,0.008,1.498,1.726,0.000,0.000,0.000,0.000
31,0.104,0.002,1.498,1.726,0.000,0.000,0.000,0.000
32,0.096,-0.016,1.496,1.728,0.000,0.000,0.000,0.000
33,0.098,0.006,1.498,1.726,0.000,0.000,0.000,0.000
34,0.100,0.008,1.496,1.726,0.000,0.000,0.000,0.000
35,0.100,0.000,1.498,1.726,0.000,0.000,0.000,0.000
36,0.098,-0.004,1.496,1.728,0.000,0.000,0.000,0.000
37,0.100,0.006,1.496,1.728,0.000,0.000,0.000,0.000
38,0.096,-0.006,1.498,1.728,0.000,0.000,0.000,0.000
39,0.094,-0.008,1.498,1.726,0.000,0.000,0.000,0.000
40,0.094,0.000,1.498,1.728,0.000,0.000,0.000,0.000
41,0.094,0.008,1.498,1.726,0.000,0.000,0.000,0.000
42,0.098,0.006,1.496,1.726,0.000,0.000,0.000,0.000
