Filetype,Mod-002
Title,
Name,
Date,2025-07-31
Begin,16:34:26
End,16:56:19
Time Range, 0:21:53
Comment,


Measurement Record
Time_Sec,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
0,0.384,0.050,1.498,1.726,0.000,0.000,0.000,0.000
1,0.394,0.034,1.496,1.726,0.000,0.000,0.000,0.000
2,0.394,0.018,1.498,1.728,0.000,0.000,0.000,0.000
3,0.398,0.016,1.498,1.728,0.000,0.000,0.000,0.000
4,0.394,-0.010,1.496,1.728,0.000,0.000,0.000,0.000
5,0.384,-0.018,1.496,1.728,0.000,0.000,0.000,0.000
6,0.390,0.018,1.496,1.726,0.000,0.000,0.000,0.000
7,0.400,0.030,1.496,1.728,0.000,0.000,0.000,0.000
8,0.406,0.032,1.496,1.726,0.000,0.000,0.000,0.000
9,0.410,0.014,1.496,1.728,0.000,0.000,0.000,0.000
10,0.412,0.012,1.496,1.726,0.000,0.000,0.000,0.000
11,0.416,0.012,1.498,1.728,0.000,0.000,0.000,0.000
12,0.410,-0.016,1.496,1.728,0.000,0.000,0.000,0.000
13,0.394,-0.028,1.496,1.726,0.000,0.000,0.000,0.000
14,0.404,0.014,1.496,1.726,0.000,0.000,0.000,0.000
15,0.394,-0.030,1.494,1.726,0.000,0.000,0.000,0.000
16,0.372,-0.052,1.498,1.728,0.000,0.000,0.000,0.000
17,0.372,0.004,1.496,1.726,0.000,0.000,0.000,0.000
18,0.382,0.024,1.496,1.726,0.000,0.000,0.000,0.000
19,0.388,0.012,1.496,1.722,0.000,0.000,0.000,0.000
20,0.318,-0.204,1.496,1.724,0.000,0.000,0.000,0.000
21,0.266,-0.128,1.496,1.726,0.000,0.000,0.000,0.000
22,0.288,0.042,1.496,1.724,0.000,0.000,0.000,0.000
23,0.326,0.094,1.496,1.724,0.000,0.000,0.000,0.000
24,0.350,0.074,1.496,1.726,0.000,0.000,0.000,0.000
25,0.366,0.054,1.496,1.726,0.000,0.000,0.000,0.000
26,0.378,0.044,1.494,1.726,0.000,0.000,0.000,0.000
27,0.388,0.030,1.498,1.726,0.000,0.000,0.000,0.000
28,0.394,0.022,1.496,1.724,0.000,0.000,0.000,0.000
29,0.396,0.016,1.496,1.728,0.000,0.000,0.000,0.000
30,0.400,0.010,1.496,1.728,0.000,0.000,0.000,0.000
31,0.404,0.010,1.496,1.726,0.000,0.000,0.000,0.000
32,0.402,0.006,1.496,1.726,0.000,0.000,0.000,0.000
33,0.396,-0.016,1.498,1.728,0.000,0.000,0.000,0.000
34,0.402,0.016,1.494,1.726,0.000,0.000,0.000,0.000
35,0.392,-0.034,1.496,1.730,0.000,0.000,0.000,0.000
36,0.344,-0.134,1.496,1.726,0.000,0.000,0.000,0.000
37,0.286,-0.158,1.496,1.726,0.000,0.000,0.000,0.000
38,0.262,-0.092,1.496,1.726,0.000,0.000,0.000,0.000
39,0.238,-0.066,1.496,1.728,0.000,0.000,0.000,0.000
40,0.252,0.024,1.496,1.726,0.000,0.000,0.000,0.000
41,0.280,0.078,1.494,1.726,0.000,0.000,0.000,0.000
42,0.316,0.102,1.496,1.726,0.000,0.000,0.000,0.000
43,0.342,0.080,1.496,1.726,0.000,0.000,0.000,0.000
44,0.364,0.070,1.496,1.726,0.000,0.000,0.000,0.000
45,0.376,0.044,1.498,1.726,0.000,0.000,0.000,0.000
46,0.384,0.034,1.496,1.726,0.000,0.000,0.000,0.000
47,0.392,0.028,1.494,1.728,0.000,0.000,0.000,0.000
48,0.392,0.006,1.494,1.726,0.000,0.000,0.000,0.000
49,0.390,0.004,1.496,1.726,0.000,0.000,0.000,0.000
50,0.400,0.026,1.494,1.726,0.000,0.000,0.000,0.000
51,0.408,0.028,1.496,1.728,0.000,0.000,0.000,0.000
52,0.404,-0.010,1.496,1.724,0.000,0.000,0.000,0.000
53,0.396,-0.016,1.496,1.726,0.000,0.000,0.000,0.000
